Final Event Number,Date & Time Reported,Date and Time Occurred,Log Type,category,Location,State,Status,Remarks
2014-0002820,3/14/14,3/14/2014  9:32:00PM To  9:56:00PM,TRESPASS WARNING,Suspicious activity, 10 DEWOLFE ST,MA,CLOSED,Officer observed an individual smoking a cigar near the entrance to the day care center. Officers conducted a field interview with the individual who was checked for wants/warrants with negative results. The individual was issued a trespass warning for all Harvard University property and sent on their way.
2014-0002826,3/15/14,3/15/2014 12:29:00AM,LOUD PARTY,Noise,CANADAY HALL C 22 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and advised the occupants of C51 to keep the noise down.
2014-0002860,3/16/14,3/16/2014 12:12:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,STRAUS HALL B 10 HARVARD YARD,MA,CLOSED,Officer dispatched to a report that five individuals piggybacked into the building and then left. Officers searched the area for the individuals with negative results.
2014-0002861,3/16/14,3/16/2014  5:05:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,STADIUM 79 N HARVARD ST,MA,CLOSED,Officers along with the State Police searched the area for a motor vehicle attempting to enter the Stadium through a locked gate. Officers report the motor vehicle was gone on arrival.
2014-0002868,3/17/14,3/17/2014 12:34:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,CANADAY HALL C 22 HARVARD YARD,MA,CLOSED,Officers dispatched to a report that an unknown individual was in another individual's room. Officers arrived and report there was no one in the room. Officer's spoke with the reporting individual and informed them that no one was in the room.
2014-0002870,3/17/14,3/17/2014  3:17:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,RANDOLPH HALL I 45-57 BOW ST,MA,CLOSED,Officers dispatched to a report of noises right outside of a room that was supposed to be unoccupied. Officers arrived and report a dryer vent was striking the wall causing the noise.
2014-0002875,3/17/14,3/17/2014  8:52:00AM,UNWANTED GUEST,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest refusing to leave the building. Officers arrived and sent the individual on their way.
2014-0002895,3/17/14,3/17/2014 12:42:00PM,SUSPICIOUS ODOR/SMOKE,Suspicious activity,641 HUNTINGTON AVENUE ,MA,CLOSED,Officers dispatched to a report of the odor of natural gas in the building. Officers report FMO was also on scene and report there was no odor.
2014-0002897,3/17/14,3/17/2014  1:08:00PM,UNWANTED GUEST,Suspicious activity,HARKNESS COMMONS 14 EVERETT ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest using a computer in the building. Officers arrived and determined the individual was affiliated and was authorized to use the computer.
2014-0002899,3/17/14,3/17/2014  1:59:00PM,PROPERTY DAMAGE,Theft, 1033 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to a report of damage done to a motor vehicle. The reporting individual did not wish to file a report.
2014-0002903,3/17/14,3/17/2014  3:40:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,OFFICE OF THE REGISTRAR 20 GARDEN ST,MA,CLOSED,Officer dispatched to take a report of suspicious activity.
2014-0002907,3/17/14,3/17/2014  9:44:00PM,UNWANTED GUEST,Suspicious activity,WARREN ALPERT BUILDING 200 LONGWOOD AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest sleeping on a bench. Officers report the individual was gone on arrival.
2014-0002915,3/18/14,3/18/2014  6:37:00AM To  7:12:00AM,SUSPICIOUS ODOR/SMOKE,Suspicious activity,CANADAY HALL G 22 HARVARD YARD,MA,CLOSED,Officer dispatched to a report of the smell of smoke. Upon arrival with Cambridge Fire it was determined that the smoke was coming from room G-44. The smoke was from a faulty fan motor which was replaced by Operations.
2014-0002920,3/18/14,3/18/2014 10:02:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,ALUMNI ASSOCIATION 124 MT AUBURN ST,MA,OPEN,Officer took a report that an individual received suspicious e-mails.
2014-0002923,3/18/14,3/18/2014 11:06:00AM,HAZARDOUS CONDITION,Other,BYERLY HALL 8 GARDEN ST,MA,CLOSED,Officer dispatched to a report of syringes found in the area. Officer reports properly disposed of the syringes.
2014-0002925,3/18/14,2/1/2014 To 3/18/2014 2:23:00PM To  2:23:00PM,HARASSMENT,Harassment,12 OXFORD ST MALLINCKRODT LAB,MA,CLOSED,"Officer took a report of harassment. The location, dates and times of the incident are unknown at this time.
Update 3/20/14: The dates and location have been changed to reflect when and where the incident occurred.
Update 3/24/14: This case is closed pending any further information."
2014-0002928,3/18/14,3/18/2014  3:08:00PM,UNWANTED GUEST,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest sleeping on a bench. Officers arrived and sent the individual on their way.
2014-0002930,3/18/14,3/18/2014  5:46:00PM,UNWANTED GUEST,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest drinking alcohol. Officers arrived and sent the individual on their way.
2014-0002935,3/18/14,3/18/2014  9:05:00PM To  9:10:00PM,ASSIST CAMBRIDGE POLICE,Other, 28 JFK ST,MA,CLOSED,Officers observed three individuals rolling a marijuana cigarette. Officers conducted a field interview with the individuals who were all checked for wants/warrants with negative results. Officers confiscated the marijuana and sent the individuals on their way.
2014-0002954,3/19/14,3/19/2014 12:59:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,CGIS - SOUTH 1730 CAMBRIDGE ST,MA,CLOSED,"Officer dispatched to a report of an unattended backpack with batteries laying on the floor and a sign that said ""Closed"". Officer reports the items belong to an employee who was working on the bathroom."
2014-0002955,3/19/14,3/19/2014  1:02:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officer was informed that a fake identification card was sent in. Officer reports the ID was destroyed.
2014-0002956,3/19/14,3/19/2014  9:10:00AM To 10:15:00AM,THEFT REPORT,Theft,ALUMNI ASSOCIATION 124 MT AUBURN ST,MA,CLOSED,"Officer dispatched to take a report of two stolen credit/debit cards a license and $20. The items were stolen from a purse left in an unsecured office.
Update 4/29/14: This case is closed pending any further information."
2014-0002972,3/20/14,3/20/2014  5:20:00AM,HAZARDOUS CONDITION,Other,29 GARDEN STREET ,MA,CLOSED,Officer reports a water leak in the basement. Officer reports FMO and HRES were notified of the leak and water in the basement.
2014-0002985,3/20/14,3/18/2014  5:30:00PM To  5:45:00PM,ASSIST CAMBRIDGE POLICE,Other, MASSACHUSETTS AVE,MA,CLOSED,Officer assisted CPD with taking a report that an individual followed another individual and made lewd remarks toward them. The individual reported that they walked away from the individual.
2014-0002990,3/20/14,3/20/2014 11:51:00AM,UNWANTED GUEST,Suspicious activity,UHS - LONGWOOD AREA 275 LONGWOOD AVE,MA,CLOSED,Officers dispatched to a report that an individual was sitting on the steps and yelling. Officers report the individual was gone on arrival.
2014-0003003,3/20/14,3/20/2014  7:15:00PM,ASSIST CAMBRIDGE POLICE,Other,RADCLIFFE QUAD 107 SHEPARD ST,MA,CLOSED,Officers assisted CPD with locating stolen property. Officer reports the property was not located at this time.
2014-0003004,3/20/14,3/20/2014  8:22:00PM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,HEMENWAY GYMNASIUM H 1515 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to a report of a suspicious bag that contained white powder and bricks. Officer reports the bag contained work out chalk and was disposed of.
2014-0003021,3/21/14,3/21/2014  9:35:00AM,DISORDERLY CONDUCT,Disturbance,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,ARREST,"While conducting a patrol in the building officer observed two unwanted guests in the arcade. Officers made contact with the individuals, one of whom left the area without further incident. The other individual became agitated and instructed officers not to bother them. The individual also provided the officers with a false name and then their real name. Officers conducted a field interview with the individual who was checked for wants/warrants with negative results. The individual became increasingly agitated with officers and caused a disturbance to other individuals entering the building. The individual was subsequently placed under arrest.
Name: Moniz, Paul
Age: 56
Address: Unknown at this time
Charge(s): Disorderly Conduct"
2014-0003026,3/21/14,12/20/2013 To 3/21/2014 9:58:00AM To  9:58:00AM,VANDALISM,Suspicious activity,OXFORD STREET GARAGE 52 OXFORD ST,MA,OPEN,Officer took a report of vandalism to a vehicle. The reporting individual informed the officer their vehicle has been scratched numerous times and at times the reporting individual has discovered a pink soap like substance on their vehicle's windows.
2014-0003028,3/21/14,3/21/2014 10:36:00AM,ASSIST CAMBRIDGE POLICE,Other, BEACON ST / FRANCIS AVE,MA,CLOSED,Officer dispatched to a report of yelling or screaming in the area. Officer checked the area for anyone in need of assistance with negative results.
2014-0003029,3/21/14,3/21/2014  4:00:00AM To  7:00:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,LISE 15 OXFORD ST,MA,CLOSED,Officer dispatched to take a report of suspicious activity.
2014-0003033,3/21/14,3/21/2014 12:16:00PM To 12:59:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,LANDMARK CENTER 401 PARK DR,MA,CLOSED,Officer dispatched to take a report that an individual received a suspicious letter from an individual unknown to them.
2014-0003050,3/21/14,3/21/2014  1:10:00PM,DISTURBANCE,Disturbance,GATE 10 10 ATHLETIC COMPLEX,MA,CLOSED,Officers dispatched to a report of two individuals having a verbal altercation in the area. Officers report the individuals were gone on arrival.
2014-0003056,3/21/14,3/21/2014  3:15:00PM To  3:34:00PM,VANDALISM,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to take a report of graffiti on the side of the building.
2014-0003057,3/21/14,3/1/2014 To 3/21/201410:00:00PM To  8:00:00AM,ANNOYING CALLS/TEXTS/EMAILS,Disturbance,PAINE HALL 1875 CAMBRIDGE ST,MA,CLOSED,Officer dispatched to take a report that an individual has been receiving annoying calls.
2014-0003063,3/21/14,3/21/2014  5:55:00PM To  6:36:00PM,ASSIST OTHER PD,Other, MBTA TRAIN,MA,CLOSED,Officers assisted the MBTA with taking a report of suspicious activity.
2014-0003079,3/22/14,3/22/2014  6:16:00AM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest giving the manager a difficult time when asked to leave. Officers arrived and sent the individual on their way.
2014-0003080,3/22/14,3/22/2014  7:39:00AM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest causing a disturbance. Officers arrived and sent the individual on their way.
2014-0003095,3/22/14,3/22/2014  9:58:00PM To 10:19:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,PEABODY TERRACE 24 900 MEMORIAL DR,MA,CLOSED,Officers dispatched to a report that an individual was being followed in the area. Officers arrived and searched the area for the individual with negative results. Officers advised the reporting individual to contact the HUPD should they observe the  individual in the area again.
2014-0003096,3/22/14,3/22/2014 11:35:00PM To 11:52:00PM,TRESPASS WARNING,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officer observed an individual sleeping in the building. Officer woke the individual up and the individual began yelling at the officer. The officer conducted a field interview with the individual who was checked for wants/warrants with negative results. The individual was issued a trespass warning for all Harvard University property and the Au Bon Pain and sent on their way.
2014-0003111,3/23/14,6/25/2013 To 3/23/2014 4:59:00PM To  6:07:00PM,HARASSMENT,Harassment,WIDENER LIBRARY 31 HARVARD YARD,MA,CLOSED,"Officers dispatched to take a report of harassment.
Update 7/27/14: This case is closed pending any further information."
2014-0003123,3/24/14,3/21/2014 To 3/24/2014 7:00:00PM To  6:00:00AM,THEFT REPORT,Theft,CANADAY HALL G 22 HARVARD YARD,MA,CLOSED,Officer dispatched to take a report of a stolen bag valued at $60. A pager valued at $150 was also stolen from an unsecured office in the building.
2014-0003125,3/24/14,3/24/2014  7:59:00AM,UNWANTED GUEST,Suspicious activity,8 STORY ST ,MA,CLOSED,Officer reports sending two unwanted guests who were sleeping in the stairwell on their way.
2014-0003126,3/24/14,3/24/2014  8:16:00AM,UNWANTED GUEST,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officer reports sending an unwanted guest on their way.
2014-0003127,3/24/14,3/24/2014  8:00:00AM,SUSPICIOUS ACTIVITY,Suspicious activity, FRANCIS AVE / MUSEUM ST,MA,CLOSED,Officer dispatched to take a report of suspicious activity. The reporting individual informed the officer that while they were walking an unknown individual growled at them and also made animal like sounds in their direction. The individual then left the area.
2014-0003135,3/24/14,3/24/2014 11:27:00AM,UNWANTED GUEST,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officer reports sending an unwanted guest on their way.
2014-0003136,3/24/14,3/24/2014 12:24:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,"QUINCY HOUSE, STONE HALL 3 DEWOLFE ST",MA,CLOSED,Officer dispatched to take a report that an individual received a suspicious letter.
2014-0003139,3/24/14,3/24/2014 12:45:00PM To 12:55:00PM,THEFT REPORT,Theft,LITTAUER CENTER 1805 CAMBRIDGE ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unsecured and unattended Apple Air valued at $1,500.
Update 4/10/14: This case is closed pending any further information."
2014-0003162,3/24/14,3/24/2014  3:52:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE,MA,CLOSED,Officer was informed of a suspicious individual in the bathroom. Officer reports the individual had authorization to be in the building.
2014-0003164,3/24/14,3/24/2014  6:33:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,HARVARD YARD 1 PEABODY ST,MA,CLOSED,Officers dispatched to a report of a individual walking through the area carrying a long bag that may contain a weapon. Officers located several individuals walking through the area carrying large bags containing musical instruments.
2014-0003165,3/24/14,3/24/2014  8:49:00PM,SUSPICIOUS ODOR/SMOKE,Suspicious activity,PEABODY TERRACE 16 900 MEMORIAL DR,MA,CLOSED,Officer dispatched to a report of the smell of gas or paint in the building. Officer reports the smell was glue or adhesive and advised FMO.
2014-0003176,3/25/14,3/25/2014  7:39:00AM,TRESPASS WARNING,Suspicious activity,CRONKHITE GRADUATE CENTER 84 BRATTLE ST,MA,CLOSED,Officers dispatched to a report of an individual sleeping under the stairwell of the building. Officers located the individual and conducted a field interview. The individual was checked for wants/warrants with negative results. The individual was issued a trespass warning for all Harvard University property and sent on their way.
